X (in.)	Y (in.)	Theta (rad.)
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
-65.0	58.0	0.0
