X1 (in.)	Y1 (in.)	X2 (in.)	Y2 (in.)
0.0	0.0	34.0	10.0
34.0	10.0	36.0	12.0
36.0	12.0	35.312209675518275	17.704461415828153
35.312209675518275	17.704461415828153	33.28825999627732	23.08196671764081
33.28825999627732	23.08196671764081	30.044155379495457	27.824299562401652
30.044155379495457	27.824299562401652	25.76583447242511	31.6596490629358
25.76583447242511	31.6596490629358	20.69851291880884	34.368188862787164
20.69851291880884	34.368188862787164	15.132628613281241	35.79467667297145
15.132628613281241	35.79467667297145	9.387195003552849	35.85735211733567
9.387195003552849	35.85735211733567	3.7915165601839558	34.5526228988618
3.7915165601839558	34.5526228988618	-1.333685592470447	31.95527069526109
-1.333685592470447	31.95527069526109	-5.694656083442975	28.21416498277585
-5.694656083442975	28.21416498277585	-9.04144213698018	23.54373045406531
-9.04144213698018	23.54373045406531	-11.182219830937637	18.211657082460505
-11.182219830937637	18.211657082460505	-11.99428864991782	12.52355724082948
-11.99428864991782	12.52355724082948	-11.431104170878399	6.80544926548553
-11.431104170878399	6.80544926548553	-9.524945796784522	1.385071434743974
-9.524945796784522	1.385071434743974	-6.38506663485548	-3.426902632476935
-6.38506663485548	-3.426902632476935	-2.191431560725974	-7.354670502419584
-2.191431560725974	-7.354670502419584	2.8155976232378315	-10.173108780270876
2.8155976232378315	-10.173108780270876	8.34903873144199	-11.720676251226255
8.34903873144199	-11.720676251226255	14.091737825943788	-11.908672754201895
14.091737825943788	-11.908672754201895	19.714547167275875	-10.726323107882536
19.714547167275875	-10.726323107882536	24.895190600323755	-8.241394699509268
24.895190600323755	-8.241394699509268	29.33673508943412	-4.5963133387744755
29.33673508943412	-4.5963133387744755	32.78460969082652	-1.0658141036401503E-14
32.78460969082652	-1.0658141036401503E-14	36.0	0.0
36.0	0.0	60.0	0.0
60.0	0.0	60.0	-60.0
60.0	-60.0	36.0	-60.0
36.0	-60.0	36.0	-10.0
