X (in.)	Y (in.)	Theta (rad.)
0.0	0.0	0.0
-51.0	-28.0	0.0
-48.464586499103646	-28.0	0.0
-46.56302637343138	-28.0	0.0
-44.66146624775911	-28.0	0.0
-42.75990612208684	-28.0	0.0
-40.85834599641457	-28.0	0.0
-38.9567858707423	-28.0	0.0
-37.05522574507003	-28.0	0.0
-35.15366561939776	-28.0	0.0
-33.252105493725495	-28.0	0.0
-31.350545368053226	-28.0	0.0
-29.448985242380957	-28.0	0.0
-29.009513568892253	-28.0	0.0
-29.008112476095896	-29.02138329616591	0.0013608798683311819
-29.006537636352466	-29.79150251600396	0.002041319737478191
-29.004438777095917	-30.56162048441565	0.0027217597366623637
-29.001815899295888	-31.33173684639789	0.003402199735846536
-28.99866900416677	-32.10185124538791	0.004082639735030708
-28.994998093165577	-32.87196332482385	0.004763079734214881
-28.99080316817735	-33.64207273126685	0.0054435194733247275
-28.98608423115708	-34.41217910503677	0.006123959212434574
-28.98084128428961	-35.182282089575715	0.006804398951544421
-28.98008846845346	-35.95795583142464	6.804396090726843E-4
-28.99570815670948	-36.00615084574824	-0.002041320127589679
-26.460299938329936	-36.011326432764946	-0.002041320127589679
-24.558743774545274	-36.01520812302748	-0.002041320127589679
-22.657187610760612	-36.01908981329001	-0.002041320127589679
-21.000720908085977	-36.02247119680759	-0.002041320127589679
-21.000720908085977	-36.02247119680759	-0.002041320127589679
-23.53612912646552	-36.01729560979088	-0.002041320127589679
-24.99821453239773	-36.01431102127791	-0.002041320127589679
-24.99821453239773	-36.01431102127791	-0.002041320127589679
-25.024318160342474	-35.198358052360746	0.06600267341900656
-25.08027985072305	-34.58859113716914	0.1170356684164073
-25.167273419370126	-33.98247268191544	0.16806866757499725
-25.285072327270797	-33.381581046246076	0.21910165841120877
-25.43336986117523	-32.78748073320302	0.2701346492474203
-25.611779883819935	-32.20171866176111	0.32116764008363186
-25.819837851013844	-31.62582003977359	0.3722006309198434
-26.057002021218956	-31.061284392634356	0.4232336217560549
-26.322654866137455	-30.509581658812326	0.47426661259226643
-26.61610467863251	-29.972148362424196	0.5252996034284779
-26.93658759149048	-29.450383537865708	0.5763326275542031
-27.283268947467384	-28.94564611405161	0.6273656516799283
-27.65524605613281	-28.45925032849278	0.6783986758056535
-28.051550361864894	-27.992462660662227	0.7294316999313786
-28.471149965779702	-27.546498534330283	0.7804647240571038
-28.91295231259403	-27.122519152838883	0.831497748182829
-29.375807035425645	-26.721628475555228	0.882530772308554
-29.858508951123596	-26.344870343377558	0.9335637964342792
-30.359801198329375	-25.99322576077766	0.9845968205600043
-30.878378510098017	-25.667610341457124	1.0356298446857295
-31.412890612557874	-25.368871924268397	1.0866628688114548
-31.96194574075962	-25.097788365608267	1.1376958929371799
-32.52411352121914	-24.85506581191158	1.1887288504838778
-33.09793088996244	-24.641335891712405	1.2397618080305757
-33.681903742713665	-24.457155114459653	1.2907947655772736
-34.27451153237227	-24.303003049615338	1.3418277231239715
