X (in.)	Y (in.)	Theta (rad.)
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
24.0	-60.0	2.356194490192345
