X (in.)	Y (in.)	Theta (rad.)
-57.0	-63.0	0.0
-57.0	-63.0	0.0
-57.0	-63.0	0.0
-57.0	-63.0	0.0
-57.0	-63.0	0.0
-57.0	-63.0	0.0
-57.0	-63.0	0.0
-57.0	-63.0	0.0
-57.0	-63.0	0.0
-56.74942310857319	-62.83044395653382	0.0
-55.703757882768734	-62.27528069134677	0.0
-54.13627198688724	-61.440632561282555	0.0
-52.569800343232515	-60.604082428634904	0.0
-51.00434525971186	-59.76563152590627	0.0
-49.43990904273484	-58.92528108839955	0.0
-47.876493997209906	-58.083032354216236	0.0
-46.31410242654101	-57.23888656425462	0.0
-44.75273663262421	-56.39284496220797	0.0
-43.19239891584425	-55.54490879456265	0.0
-41.633091575071205	-54.695079310596356	0.0
-40.07481690765708	-53.84335776237621	0.0
-39.30196461298262	-53.41971311081702	0.0
-39.30196461298262	-53.41971311081702	0.0
-39.30196461298262	-53.41971311081702	0.0
-39.04477044678576	-53.02208176981197	0.0
-38.391693168480465	-51.81996361480346	0.0
-37.664888851106205	-50.47825633395714	0.0
-37.3843354422149	-49.89794759155744	0.0
-37.3843354422149	-49.89794759155744	0.0
-37.307065596394246	-49.25802742257313	0.0
-37.19418603144388	-47.73629119475751	0.0
-37.19418603144388	-47.73629119475751	0.0
-37.19418603144388	-47.73629119475751	0.0
-37.19418603144388	-47.73629119475751	0.0
-37.19418603144388	-47.73629119475751	0.0
-37.19418603144388	-47.73629119475751	0.0
-37.19418603144388	-47.73629119475751	0.0
-37.19418603144388	-47.73629119475751	0.0
-37.19418603144388	-47.73629119475751	0.0
-37.19418603144388	-47.73629119475751	0.0
-37.19418603144388	-47.73629119475751	0.0
-37.13005530986627	-46.85727884516951	0.0
-37.13005530986627	-46.85727884516951	0.0
-37.13005530986627	-46.85727884516951	0.0
-37.13005530986627	-46.85727884516951	0.0
-37.13005530986627	-46.85727884516951	0.0
-37.25408886989977	-46.58131923512042	0.0
-37.85303601425859	-45.560102150591256	0.0
-38.67667394397231	-44.167428817007405	0.0
-39.0692166882933	-43.54408070756192	0.0
-39.0692166882933	-43.54408070756192	0.0
-39.44808758108544	-43.23855121441144	0.0
-40.58445530195066	-42.453419568246595	0.0
-42.046723783705566	-41.4457388538964	0.0
-43.510214380054904	-40.43983388363122	0.0
-44.812179317409154	-39.54727588896281	0.0
-45.779036897523085	-38.93496524448319	0.0
-46.5832821248259	-38.51421366944406	0.0
-47.73338362771251	-38.025388218081986	0.0
-49.28328834550441	-37.40188715625342	0.0
