Calculated IMU CountsTime,FL_IMU,FR_IMU,BR_IMU,BL_IMU,LS_IMU,FLBR_cnt,FRBL_cnt, RobotY, RobotX, RobotAngle, Field_Y, Field_X0.000,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.700,7,3159,1913,-1639,7920,0.0,0.0,-5.7,14.6,-33.5,-6.0,14.3
5.800,107,3259,2013,-1539,7920,0.0,0.0,-5.7,14.6,-37.4,-6.0,14.3
5.900,207,3359,2113,-1439,7920,0.0,0.0,-5.7,14.6,-41.3,-6.0,14.3
6.000,307,3459,2213,-1339,7920,0.0,0.0,-5.7,14.6,-45.2,-6.0,14.3
6.100,407,3559,2313,-1239,7920,0.0,0.0,-5.7,14.6,-49.1,-6.0,14.3
6.200,507,3659,2413,-1139,7920,0.0,0.0,-5.7,14.6,-53.0,-6.0,14.3
6.300,607,3759,2513,-1039,7920,0.0,0.0,-5.7,14.6,-56.9,-6.0,14.3
6.400,707,3859,2613,-939,7920,0.0,0.0,-5.7,14.6,-60.8,-6.0,14.3
6.500,807,3959,2713,-839,7920,0.0,0.0,-5.7,14.6,-64.7,-6.0,14.3
6.600,907,4059,2813,-739,7920,0.0,0.0,-5.7,14.6,-68.6,-6.0,14.3
6.700,1007,4159,2913,-639,7920,0.0,0.0,-5.7,14.6,-72.5,-6.0,14.3
6.800,1107,4259,3013,-539,7920,0.0,0.0,-5.7,14.6,-76.4,-6.0,14.3
6.900,1207,4359,3113,-439,7920,0.0,0.0,-5.7,14.6,-80.3,-6.0,14.3
7.000,1307,4459,3213,-339,7920,0.0,0.0,-5.7,14.6,-84.2,-6.0,14.3
7.100,1407,4559,3313,-239,7920,0.0,0.0,-5.7,14.6,-88.1,-6.0,14.3
7.200,1490,4642,3396,-156,7920,0.0,0.0,-5.7,14.6,-91.3,-6.0,14.3
7.300,1490,4642,3396,-156,7920,0.0,0.0,-5.7,14.6,-91.3,-6.0,14.3
7.400,1115,5017,3771,-531,7920,265.1,265.1,-5.7,17.8,-91.3,-9.2,14.2
7.500,815,5317,4071,-831,7920,212.1,212.1,-5.7,20.3,-91.3,-11.7,14.1
7.600,515,5617,4371,-1131,7920,212.1,212.1,-5.7,22.8,-91.3,-14.3,14.1
7.700,215,5917,4671,-1431,7920,212.1,212.1,-5.7,25.4,-91.3,-16.8,14.0
7.800,-85,6217,4971,-1731,7920,212.1,212.1,-5.7,27.9,-91.3,-19.3,14.0
7.900,-385,6517,5271,-2031,7920,212.1,212.1,-5.7,30.4,-91.3,-21.9,13.9
8.000,-685,6817,5571,-2331,7920,212.1,212.1,-5.7,33.0,-91.3,-24.4,13.8
8.100,-985,7117,5871,-2631,7920,212.1,212.1,-5.7,35.5,-91.3,-27.0,13.8
8.200,-1114,7246,6000,-2760,7920,91.2,91.2,-5.7,36.6,-91.3,-28.0,13.8
8.300,-1034,7166,5920,-2680,7920,-56.6,-56.6,-5.7,35.9,-91.3,-27.4,13.8
8.400,-914,7046,5800,-2560,7920,-84.8,-84.8,-5.7,34.9,-91.3,-26.4,13.8
8.500,-794,6926,5680,-2440,7920,-84.8,-84.8,-5.7,33.9,-91.3,-25.3,13.8
8.600,-674,6806,5560,-2320,7920,-84.8,-84.8,-5.7,32.9,-91.3,-24.3,13.8
8.700,-554,6686,5440,-2200,7920,-84.8,-84.8,-5.7,31.9,-91.3,-23.3,13.9
8.800,-434,6566,5320,-2080,7920,-84.8,-84.8,-5.7,30.8,-91.3,-22.3,13.9
8.900,-314,6446,5200,-1960,7920,-84.8,-84.8,-5.7,29.8,-91.3,-21.3,13.9
9.000,-194,6326,5080,-1840,7920,-84.8,-84.8,-5.7,28.8,-91.3,-20.3,13.9
9.100,-74,6206,4960,-1720,7920,-84.8,-84.8,-5.7,27.8,-91.3,-19.3,14.0
9.200,-409,5791,4545,-2055,7920,-28.3,-28.3,-5.7,27.5,-76.7,-18.9,13.9
9.300,-709,5491,4245,-2355,7920,-0.0,-0.0,-5.7,27.5,-65.0,-18.9,13.9
